Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Prix moyen au m².1,Densité par km²,Année,Salaire moyen
Bertrange,51,5 975 ,48,6 975 ,377.92,2014,6468.27
Bettembourg,40,3 925 ,49,5 515 ,467.1,2014,4157.58
Clervaux,22,3 106 ,19,3 659 ,55.67,2014,3576.64
Diekirch,32,3 747 ,56,4 816 ,535.35,2014,3738.49
Differdange,208,3 676 ,131,4 084 ,1062.71,2014,3092.26
Dudelange,131,3 837 ,67,5 321 ,908.37,2014,3895.81
Esch-sur-Alzette,279,3 894 ,66,4 704 ,2271.78,2014,3423.93
Ettelbruck,54,4 065 ,25,4 812 ,545.32,2014,3676.56
Frisange,29,4 120 ,15,4 792 ,218.29,2014,4966.3
Hesperange,103,4 949 ,11,6 010 ,520.76,2014,5655.08
Junglinster,18,4 474 ,16,4 830 ,122.46,2014,5627.73
Kayl,51,3 898 ,47,4 389 ,539.77,2014,3704.27
Kehlen,13,4 533 ,11,5 114 ,189.43,2014,6010.82
Kopstal,11,5 071 ,13,6 672 ,411.39,2014,7297.33
Lintgen,16,4 166 ,29,4 205 ,181.64,2014,3996.98
Lorentzweiler,13,4 713 ,17,5 435 ,210.49,2014,5047.51
Mamer,39,4 699 ,12,5 532 ,296.77,2014,5930.44
Mersch,61,4 116 ,38,4 569 ,173.68,2014,3964.83
Mondorf-les-Bains,53,4 240 ,36,4 949 ,339.46,2014,4385.76
Roeser,55,4 473 ,39,5 375 ,231.18,2014,5014.76
Sanem,86,4 054 ,137,4 685 ,616.18,2014,4160.5
Schifflange,56,3 789 ,39,4 596 ,1210.38,2014,3537.67
Strassen,59,5 577 ,112,6 810 ,741.46,2014,6888.82
Bertrange,26,5 773 ,24,7 092 ,395.0,2015,6659.45
Bettembourg,53,4 075 ,25,5 474 ,473.62,2015,4211.13
Bettendorf,11,3 444 ,11,4 236 ,113.17,2015,3633.07
Clervaux,15,3 201 ,13,3 518 ,56.61,2015,3711.33
Contern,17,4 585 ,14,6 339 ,170.12,2015,6097.37
Diekirch,36,4 166 ,24,4 827 ,541.71,2015,3821.13
Differdange,210,3 858 ,90,4 174 ,1095.76,2015,3130.42
Dudelange,130,3 980 ,66,5 259 ,923.01,2015,3944.61
Echternach,18,3 977 ,11,5 154 ,260.81,2015,3538.63
Esch-sur-Alzette,264,3 868 ,76,5 613 ,2319.58,2015,3484.63
Ettelbruck,66,3 674 ,14,5 100 ,549.87,2015,3694.96
Frisange,31,4 622 ,15,5 049 ,222.68,2015,5185.92
Hesperange,100,5 312 ,16,6 159 ,528.77,2015,5862.15
Kayl,65,3 994 ,22,4 424 ,546.5,2015,3806.89
Lintgen,20,4 532 ,20,4 948 ,183.48,2015,4172.18
Lorentzweiler,15,4 898 ,14,5 567 ,213.35,2015,4978.33
Mamer,33,4 785 ,83,6 002 ,307.3,2015,5934.11
Mersch,52,4 154 ,28,5 240 ,177.74,2015,4057.81
Mondorf-les-Bains,43,4 606 ,56,5 450 ,340.48,2015,4332.33
Roeser,51,4 794 ,10,5 472 ,241.01,2015,5051.43
Rumelange,27,3 763 ,12,4 496 ,781.55,2015,3397.71
Sanem,97,3 816 ,69,4 810 ,631.24,2015,4187.39
Schifflange,56,3 908 ,177,4 872 ,1256.68,2015,3668.97
Strassen,57,5 633 ,55,7 198 ,749.39,2015,7526.71
Bertrange,33,6 310 ,13,7 137 ,424.78,2016,7127.4
Bettembourg,44,4 622 ,41,5 278 ,483.95,2016,4269.94
Bissen,13,4 174 ,12,4 351 ,138.75,2016,4144.02
Clervaux,20,3 616 ,18,3 783 ,56.99,2016,3687.91
Diekirch,38,4 016 ,47,5 307 ,555.23,2016,3850.7
Differdange,229,3 999 ,115,4 511 ,1118.35,2016,3157.32
Dippach,10,4 394 ,19,5 104 ,233.7,2016,5280.11
Dudelange,149,4 312 ,28,5 250 ,935.59,2016,4059.56
Echternach,24,4 191 ,10,5 027 ,256.17,2016,3917.55
Esch-sur-Alzette,294,4 069 ,42,5 668 ,2365.09,2016,3559.55
Ettelbruck,55,3 898 ,37,5 422 ,562.65,2016,3701.32
Hesperange,122,5 591 ,14,7 181 ,538.21,2016,6111.78
Junglinster,21,5 080 ,16,5 774 ,131.11,2016,5936.4
Kayl,72,4 528 ,86,4 893 ,554.98,2016,3797.05
Kehlen,16,4 713 ,21,5 441 ,193.65,2016,6652.04
Lintgen,18,4 727 ,20,5 281 ,184.33,2016,4368.89
Mamer,39,5 196 ,24,5 949 ,315.72,2016,6201.54
Mersch,47,4 628 ,23,4 984 ,181.87,2016,4192.83
Mondorf-les-Bains,57,4 476 ,39,5 719 ,351.39,2016,4347.23
Sanem,95,4 120 ,65,5 155 ,644.88,2016,4248.8
Schifflange,77,4 313 ,104,5 136 ,1287.16,2016,3726.13
Strassen,56,6 417 ,75,7 690 ,793.37,2016,7422.0
Bertrange,35,6 501 ,114,7 756 ,459.98,2017,7538.72
Bettembourg,57,5 047 ,19,5 557 ,499.58,2017,4388.87
Clervaux,18,3 568 ,11,3 804 ,59.6,2017,3793.09
Diekirch,45,4 614 ,36,5 865 ,521.1,2017,4014.07
Differdange,242,4 266 ,100,4 868 ,1145.27,2017,3290.18
Dippach,18,4 898 ,20,5 657 ,239.84,2017,5595.28
Dudelange,151,4 333 ,56,5 292 ,957.9,2017,4137.28
Esch-sur-Alzette,321,4 298 ,43,5 346 ,2395.68,2017,3639.95
Esch-sur-Sûre,11,3 325 ,16,4 170 ,51.5,2017,3933.82
Ettelbruck,69,4 295 ,42,5 413 ,581.88,2017,3732.96
Frisange,43,5 138 ,11,5 768 ,247.26,2017,5542.86
Hesperange,135,5 793 ,24,7 019 ,552.87,2017,6440.89
Kayl,90,4 608 ,64,5 271 ,604.44,2017,3925.81
Kehlen,20,4 414 ,28,5 827 ,209.47,2017,6427.91
Lintgen,17,4 901 ,39,5 621 ,190.3,2017,4555.96
Lorentzweiler,23,5 043 ,23,5 882 ,223.27,2017,5241.81
Mamer,40,5 716 ,43,6 491 ,333.51,2017,6460.4
Mersch,68,4 810 ,24,5 841 ,184.86,2017,4329.57
Mondercange,37,4 624 ,30,5 918 ,313.46,2017,5382.06
Mondorf-les-Bains,58,4 778 ,15,5 849 ,365.96,2017,4406.18
Sandweiler,28,5 921 ,13,6 578 ,464.68,2017,6198.16
