Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Densité par km²,Année,Salaire moyen
Bertrange,51,5 975 ,48,377.92,2014,6468.27
Bettembourg,40,3 925 ,49,467.1,2014,4157.58
Betzdorf,11,4 059 ,0,135.81,2014,5567.98
Clervaux,22,3 106 ,19,55.67,2014,3576.64
Colmar-Berg,23,3 667 ,0,167.75,2014,3973.17
Contern,16,4 237 ,0,171.14,2014,6071.14
Diekirch,32,3 747 ,56,535.35,2014,3738.49
Differdange,208,3 676 ,131,1062.71,2014,3092.26
Dippach,13,4 311 ,0,221.53,2014,5131.34
Dudelange,131,3 837 ,67,908.37,2014,3895.81
Echternach,22,3 925 ,1,262.66,2014,3476.1
Esch-sur-Alzette,279,3 894 ,66,2271.78,2014,3423.93
Ettelbruck,54,4 065 ,25,545.32,2014,3676.56
Frisange,29,4 120 ,15,218.29,2014,4966.3
Goesdorf,12,3 365 ,0,47.74,2014,4221.03
Grevenmacher,36,4 132 ,2,281.98,2014,4170.91
Hesperange,103,4 949 ,11,520.76,2014,5655.08
Junglinster,18,4 474 ,16,122.46,2014,5627.73
Kayl,51,3 898 ,47,539.77,2014,3704.27
Kehlen,13,4 533 ,11,189.43,2014,6010.82
Kopstal,11,5 071 ,13,411.39,2014,7297.33
Larochette,12,3 736 ,1,135.97,2014,3558.51
Leudelange,16,4 994 ,5,169.86,2014,6060.63
Lintgen,16,4 166 ,29,181.64,2014,3996.98
Lorentzweiler,13,4 713 ,17,210.49,2014,5047.51
Mamer,39,4 699 ,12,296.77,2014,5930.44
Mersch,61,4 116 ,38,173.68,2014,3964.83
Mertert,24,3 662 ,6,277.9,2014,3973.32
Mondercange,29,4 268 ,5,296.78,2014,5052.12
Mondorf-les-Bains,53,4 240 ,36,339.46,2014,4385.76
Remich,40,3 767 ,3,650.85,2014,3837.09
Roeser,55,4 473 ,39,231.18,2014,5014.76
Rumelange,29,3 558 ,0,767.06,2014,3345.37
Sandweiler,19,4 863 ,1,440.49,2014,5857.07
Sanem,86,4 054 ,137,616.18,2014,4160.5
Schengen,30,3 261 ,4,137.27,2014,4417.06
Schifflange,56,3 789 ,39,1210.38,2014,3537.67
Schuttrange,18,4 735 ,2,243.66,2014,6361.42
Stadtbredimus,16,3 579 ,2,160.67,2014,4557.6
Steinfort,20,3 942 ,8,386.51,2014,4646.94
Steinsel,14,4 564 ,4,225.63,2014,5816.15
Strassen,59,5 577 ,112,741.46,2014,6888.82
Vallée de l'Ernz,11,3 402 ,5,61.97,2014,3729.85
Bertrange,26,5 773 ,24,395.0,2015,6659.45
Bettembourg,53,4 075 ,25,473.62,2015,4211.13
Bettendorf,11,3 444 ,11,113.17,2015,3633.07
Bissen,17,3 790 ,6,137.16,2015,4196.39
Bous,11,4 303 ,1,95.92,2015,4607.3
Clervaux,15,3 201 ,13,56.61,2015,3711.33
Colmar-Berg,19,4 129 ,0,171.24,2015,4016.55
Contern,17,4 585 ,14,170.12,2015,6097.37
Diekirch,36,4 166 ,24,541.71,2015,3821.13
Differdange,210,3 858 ,90,1095.76,2015,3130.42
Dippach,16,4 559 ,1,231.75,2015,5203.69
Dudelange,130,3 980 ,66,923.01,2015,3944.61
Echternach,18,3 977 ,11,260.81,2015,3538.63
Esch-sur-Alzette,264,3 868 ,76,2319.58,2015,3484.63
Ettelbruck,66,3 674 ,14,549.87,2015,3694.96
Frisange,31,4 622 ,15,222.68,2015,5185.92
Grevenmacher,33,3 948 ,0,288.29,2015,4365.38
Hesperange,100,5 312 ,16,528.77,2015,5862.15
Junglinster,15,4 909 ,3,128.1,2015,5844.38
Kayl,65,3 994 ,22,546.5,2015,3806.89
Kopstal,11,4 718 ,7,422.41,2015,8036.91
Larochette,11,3 667 ,7,137.79,2015,4043.86
Leudelange,29,5 411 ,0,176.86,2015,8225.81
Lintgen,20,4 532 ,20,183.48,2015,4172.18
Lorentzweiler,15,4 898 ,14,213.35,2015,4978.33
Mamer,33,4 785 ,83,307.3,2015,5934.11
Mersch,52,4 154 ,28,177.74,2015,4057.81
Mertert,26,4 025 ,1,281.05,2015,4114.67
Mondercange,37,4 053 ,6,300.0,2015,5146.78
Mondorf-les-Bains,43,4 606 ,56,340.48,2015,4332.33
Parc Hosingen,10,3 356 ,4,46.67,2015,3870.32
Reckange-sur-Mess,10,4 448 ,0,112.49,2015,5634.65
Remich,31,4 109 ,2,657.09,2015,3770.88
Roeser,51,4 794 ,10,241.01,2015,5051.43
Rumelange,27,3 763 ,12,781.55,2015,3397.71
Sandweiler,11,5 122 ,0,449.94,2015,6099.31
Sanem,97,3 816 ,69,631.24,2015,4187.39
Schengen,18,3 948 ,0,141.92,2015,5011.64
Schifflange,56,3 908 ,177,1256.68,2015,3668.97
Schuttrange,15,4 507 ,3,250.5,2015,6521.21
