Période;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Grand-Duché de Luxembourg;212,5303515;217,6642076;222,8030901;228,37772;232,7614872;237,3582951;242,0807622;245,4144048;249,538734;255,4976879
Canton Clervaux;48,06675045;49,16269691;50,05114417;51,52701873;52,84215448;53,87965047;55,34091241;56,64435807;58,49723821;60,45825175
Clervaux;55,67313345;56,61375661;56,99000588;59,60023516;61,46972369;62,78659612;64,23280423;65,90241035;67,8659612;70,79365079
Parc Hosingen;45,30785563;46,66666667;47,4168436;48,60580326;49,46921444;50,82802548;51,93205945;52,82377919;54,53644728;57,12668082
Troisvierges;79,5034337;80,26941363;82,19756999;82,96354992;83,96724775;84,54833597;87,05758056;88,93291072;91,52139461;92,78922345
Weiswampach;42,35460993;44,59574468;47,54609929;49,92907801;52,28368794;54,24113475;56,87943262;59,68794326;63,40425532;65,61702128
Wincrange;35,35638673;36,15913903;36,52964008;37,28828511;38,24982357;38,74382498;39,72300635;40,34932957;41,38143966;42,37826394
Canton Diekirch;148,9413721;151,6991834;155,5865239;157,6646619;159,1266931;162,4174857;165,1850765;165,9772138;167,7619676;171,874236
Bettendorf;113,2960413;113,1669535;114,4148021;118,4595525;121,3855422;122,9345955;125,0860585;124,8709122;127,32358;131,3253012
Bourscheid;42,51220836;44,68258275;47,50406945;49,37601736;47,85675529;46,79869778;46,60879002;46,14758546;45,65925122;45,52360282
Diekirch;535,3462158;541,7069243;555,2334944;521,0950081;543,9613527;562,6409018;566,9887279;567,3913043;577,1336554;587,3590982
Erpeldange-sur-Sûre;130,6065665;134,0567613;133,3333333;133,1107401;130,1613801;133,8898164;138,1190874;136,4496383;135,5592654;135,1697273
Ettelbruck;545,3227931;549,8682477;562,6482213;581,884058;575,428195;588,0105402;602,6350461;609,0909091;616,7325428;638,2081686
Feulen;73,41827768;78,77855888;83,6115993;90,59753954;91,3884007;95,07908612;97,71528998;99,4288225;100,659051;103,9543058
Mertzig;175,8558559;180;187,3873874;190,5405405;199,2792793;202,7927928;206,5765766;205,8558559;207,7477477;213,5135135
Reisdorf;76,28032345;74,46091644;75,53908356;80,99730458;81,26684636;83,15363881;85,98382749;86,79245283;88,88140162;91,17250674
Schieren;169,932757;177,4255524;182,7089337;192,5072046;195,581172;194,4284342;195,8693564;199,1354467;202,7857829;206,4361191
Vallée de l'Ernz;61,96828593;63,42813994;64,68663478;65,21520262;65,29071231;66,47369746;66,77573622;67,63151271;67,30430405;69,72061415
Canton Redange;63,87528506;65,05289917;65,83049834;68,60443381;69,77457101;71,38958466;72,79898314;74,26819694;76,15611799;78,03656211
Beckerich;84,65329109;84,75888772;85,77965505;87,60999648;88,63076382;92,18585005;95,31854981;97,9936642;98,97923266;100,8799718
Ell;55,26682135;57,30858469;57,07656613;58,70069606;59,81438515;62,6450116;66,12529002;70,11600928;71,83294664;73,41067285
Grosbous;45,69865738;46,59373446;49,32869219;51,01939334;52,41173545;54,1521631;55,2461462;55,2958727;56,34012929;56,38985579
