Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Beaufort;3;*;*;9;*;*
Bech;0;*;*;0;*;*
Beckerich;11;5 955 €;4803 € - 7079 €;1;*;*
Berdorf;9;*;*;0;*;*
Bertrange;45;10 397 €;7472 € - 13235 €;24;12 716 €;6571 € - 14986 €
Bettembourg;56;7 565 €;5252 € - 9225 €;6;*;*
Bettendorf;5;*;*;3;*;*
Betzdorf;10;7 364 €;4933 € - 9743 €;0;*;*
Bissen;20;7 263 €;3733 € - 8773 €;6;*;*
Biwer;1;*;*;0;*;*
Boulaide;3;*;*;0;*;*
Bourscheid;5;*;*;3;*;*
Bous;10;6 689 €;3279 € - 8034 €;0;*;*
Clervaux;24;5 468 €;4105 € - 7498 €;7;*;*
Colmar-Berg;15;6 473 €;4524 € - 7859 €;4;*;*
Consdorf;2;*;*;1;*;*
Contern;20;8 357 €;5639 € - 10828 €;0;*;*
Dalheim;6;*;*;0;*;*
Diekirch;35;6 879 €;3968 € - 9538 €;4;*;*
Differdange;301;7 079 €;4385 € - 9732 €;74;7 273 €;5970 € - 8720 €
Dippach;21;7 801 €;5928 € - 9528 €;1;*;*
Dudelange;141;7 382 €;5116 € - 9450 €;38;7 885 €;6025 € - 9514 €
Echternach;29;5 554 €;3662 € - 6794 €;5;*;*
Ell;9;*;*;4;*;*
Erpeldange-sur-Sûre;13;6 901 €;4100 € - 9689 €;43;7 737 €;7194 € - 8309 €
Esch-sur-Alzette;289;7 050 €;4414 € - 9811 €;9;*;*
Esch-sur-Sûre;6;*;*;2;*;*
Ettelbruck;74;6 717 €;4621 € - 8996 €;27;7 507 €;6030 € - 8961 €
Feulen;6;*;*;5;*;*
Fischbach;2;*;*;0;*;*
Flaxweiler;1;*;*;0;*;*
Frisange;22;7 638 €;6232 € - 9433 €;7;*;*
Garnich;3;*;*;0;*;*
Goesdorf;7;*;*;0;*;*
Grevenmacher;29;7 096 €;5402 € - 9691 €;0;*;*
Grosbous;2;*;*;8;*;*
Habscht;29;7 016 €;4799 € - 9776 €;8;*;*
Heffingen;6;*;*;0;*;*
Helperknapp;16;7 076 €;5449 € - 8907 €;0;*;*
Hesperange;122;9 223 €;6626 € - 11429 €;52;10 461 €;9006 € - 12000 €
Junglinster;21;7 804 €;4753 € - 9930 €;11;8 489 €;5891 € - 10090 €
Käerjeng;58;7 171 €;4850 € - 10345 €;16;7 809 €;6579 € - 8489 €
Kayl;79;7 430 €;5251 € - 9011 €;17;7 368 €;4215 € - 9743 €
Kehlen;21;8 421 €;5397 € - 10532 €;0;*;*
Kiischpelt;2;*;*;3;*;*
Koerich;3;*;*;1;*;*
Kopstal;10;9 107 €;7595 € - 10799 €;25;10 787 €;9124 € - 12087 €
Lac de la Haute-Sûre;2;*;*;8;*;*
Larochette;17;6 138 €;3899 € - 7581 €;0;*;*
Lenningen;4;*;*;0;*;*
Leudelange;20;9 313 €;6563 € - 12117 €;0;*;*
Lintgen;19;8 251 €;5916 € - 10002 €;8;*;*
Lorentzweiler;11;8 584 €;5571 € - 11071 €;35;8 729 €;7415 € - 10438 €
Luxembourg-Ville;629;11 154 €;7743 € - 14647 €;204;13 457 €;9854 € - 17651 €
Mamer;49;8 181 €;4728 € - 11082 €;52;8 807 €;7283 € - 10004 €
Manternach;3;*;*;7;*;*
Mersch;41;7 697 €;5365 € - 9641 €;23;8 206 €;6314 € - 10059 €
Mertert;24;6 314 €;3778 € - 8288 €;84;6 701 €;5661 € - 8217 €
Mertzig;3;*;*;0;*;*
Mondercange;32;7 744 €;5340 € - 9651 €;8;*;*
Mondorf-les-Bains;59;7 520 €;5164 € - 10146 €;4;*;*
Niederanven;4;*;*;6;*;*
Nommern;3;*;*;1;*;*
Parc Hosingen;12;5 505 €;3923 € - 6755 €;13;5 505 €;4965 € - 6388 €
Petange;179;6 825 €;4604 € - 9073 €;35;7 242 €;6116 € - 9037 €
Preizerdaul;4;*;*;1;*;*
Putscheid;2;*;*;0;*;*
Rambrouch;1;*;*;12;6 674 €;6166 € - 7186 €
Reckange-sur-Mess;10;7 157 €;4955 € - 9252 €;1;*;*
Redange;8;*;*;0;*;*
Reisdorf;0;*;*;0;*;*
Remich;24;7 764 €;5591 € - 9563 €;14;9 706 €;8479 € - 10999 €
Roeser;54;8 685 €;6829 € - 10725 €;33;8 491 €;5930 € - 9892 €
Rosport-Mompach;3;*;*;0;*;*
Rumelange;31;6 225 €;4104 € - 8256 €;0;*;*
Saeul;3;*;*;0;*;*
Sandweiler;14;8 601 €;6668 € - 10798 €;10;8 438 €;6761 € - 10074 €
Sanem;125;7 696 €;5348 € - 9969 €;169;7 742 €;6314 € - 8753 €
Schengen;20;6 901 €;4811 € - 9174 €;0;*;*
Schieren;10;6 952 €;4177 € - 8866 €;1;*;*
Schifflange;105;8 053 €;5261 € - 10423 €;1;*;*
Schuttrange;10;8 403 €;5789 € - 12536 €;8;*;*
Stadtbredimus;10;7 173 €;6008 € - 9280 €;3;*;*
Steinfort;23;7 348 €;4651 € - 9114 €;21;8 171 €;7249 € - 9202 €
Steinsel;19;9 338 €;7440 € - 12533 €;59;10 380 €;7925 € - 16227 €
Strassen;70;10 159 €;6868 € - 12907 €;10;13 288 €;8376 € - 14775 €
Tandel;8;*;*;0;*;*
Troisvierges;9;*;*;0;*;*
Useldange;5;*;*;0;*;*
Vallée de l'Ernz;8;*;*;0;*;*
Vianden;6;*;*;6;*;*
Vichten;2;*;*;0;*;*
Wahl;0;*;*;16;6 580 €;5531 € - 7533 €
Waldbillig;2;*;*;0;*;*
Waldbredimus;0;*;*;3;*;*
Walferdange;48;9 242 €;6531 € - 11256 €;11;11 611 €;10324 € - 12637 €
Weiler-la-Tour;10;8 125 €;5523 € - 11273 €;0;*;*
Weiswampach;33;5 200 €;3535 € - 7204 €;5;*;*
Wiltz;21;4 974 €;3457 € - 6967 €;24;5 125 €;4367 € - 5622 €
Wincrange;7;*;*;4;*;*
Winseler;8;*;*;0;*;*
Wormeldange;5;*;*;1;*;*
