DATAFLOW;INDICATOR: Indicateur;MUNICIPALITY: Commune;FREQ: Fréquence;TIME_PERIOD: Période;OBS_VALUE;NOTE_INDICATOR: Note;OBS_STATUS: Statut d'observation;DECIMALS: Décimales
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2013;989.0800171;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2014;1064.530029;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2015;1173.920044;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2016;1194.630005;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2017;1280;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2018;1183;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2019;1036;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2020;1171;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2021;1355;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2022;1356;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M020: P10;C1100: Wormeldange;A: Annuelle;2023;1556.80004882813;M20: le premier décile (noté ici P10) est le salaire en-dessous duquel se situent 10 % des salaires;;0: Zéro
LU1:DF_C1600(1.0);M060: P50/P10;C220: Dippach;A: Annuelle;2013;2.473731995;;;1: Un
