MUNICIPALITY: Commune;TIME_PERIOD: Période;OBS_VALUE
C010: Beaufort;2014;3455.164795
C020: Bech;2014;4787.854492
C030: Beckerich;2014;4484.416016
C040: Berdorf;2014;3927.684326
C050: Bertrange;2014;6468.273926
C060: Bettembourg;2014;4157.58252
C070: Bettendorf;2014;3578.188721
C080: Betzdorf;2014;5567.977051
C090: Bissen;2014;4275.634277
C100: Biwer;2014;5536.03418
C1000: Vichten;2014;3685.984131
C1010: Wahl;2014;3898.447998
C1020: Waldbillig;2014;5115.516113
C1030: Waldbredimus;2014;5067.066406
C1040: Walferdange;2014;5557.689453
C1050: Weiler-la-Tour;2014;5883.138672
C1060: Weiswampach;2014;3378.27124
C1070: Wiltz;2014;3340.781494
C1080: Wincrange;2014;3435.528809
C1090: Winseler;2014;4153.010254
C110: Boevange-sur-Attert;2014;4639.089844
C1100: Wormeldange;2014;4691.613281
C120: Boulaide;2014;3808.505371
C130: Bourscheid;2014;3841.221191
C140: Bous;2014;4568.885742
C150: Clervaux;2014;3576.638184
C160: Colmar-Berg;2014;3973.168701
C170: Consdorf;2014;4243.74707
C180: Contern;2014;6071.135254
C190: Dalheim;2014;4352.782715
C200: Diekirch;2014;3738.492676
C210: Differdange;2014;3092.263672
C220: Dippach;2014;5131.338867
C230: Dudelange;2014;3895.813477
C240: Echternach;2014;3476.100342
C250: Ell;2014;4775.459961
C270: Erpeldange-sur-Sûre;2014;4776.67334
C280: Esch-sur-Alzette;2014;3423.932861
C290: Esch-sur-Sûre;2014;3714.861572
C300: Ettelbruck;2014;3676.556641
C310: Feulen;2014;3849.732666
C320: Fischbach;2014;4593.51123
C330: Flaxweiler;2014;5042.679199
C340: Frisange;2014;4966.29541
C350: Garnich;2014;5266.736328
C360: Goesdorf;2014;4221.034668
C370: Grevenmacher;2014;4170.908691
C380: Grosbous;2014;3761.843506
C390: Habscht;2014;
C400: Heffingen;2014;4708.433105
C410: Helperknapp;2014;
C420: Hesperange;2014;5655.078613
C430: Hobscheid;2014;4706.769043
C440: Junglinster;2014;5627.725098
C460: Käerjeng;2014;4671.01123
C470: Kayl;2014;3704.269043
C480: Kehlen;2014;6010.818848
C490: Kiischpelt;2014;3824.365967
C500: Koerich;2014;5048.194336
C510: Kopstal;2014;7297.328125
C520: Lac de la Haute-Sûre;2014;4644.919922
C530: Larochette;2014;3558.505615
C540: Lenningen;2014;5125.583496
C550: Leudelange;2014;6060.632813
C560: Lintgen;2014;3996.984619
C570: Lorentzweiler;2014;5047.505371
C580: Luxembourg;2014;6118.591797
C590: Mamer;2014;5930.438477
C600: Manternach;2014;4761.58252
C610: Mersch;2014;3964.834473
C620: Mertert;2014;3973.316162
C630: Mertzig;2014;4007.115234
C640: Mompach;2014;4215.744141
C650: Mondercange;2014;5052.120117
C660: Mondorf-les-Bains;2014;4385.763184
C670: Niederanven;2014;7491.303223
C680: Nommern;2014;4518.500488
C690: Parc Hosingen;2014;3813.297607
C700: Pétange;2014;3370.255615
C710: Préizerdaul;2014;4316.36084
C720: Putscheid;2014;4103.35791
C730: Rambrouch;2014;4182.800781
C740: Reckange-sur-Mess;2014;5453.406738
C750: Redange/Attert;2014;4405.967773
C760: Reisdorf;2014;3230.306885
C770: Remich;2014;3837.092041
C780: Roeser;2014;5014.758789
C790: Rosport;2014;4017.46167
C800: Rosport-Mompach;2014;
C810: Rumelange;2014;3345.374268
C820: Saeul;2014;4416.206055
C830: Sandweiler;2014;5857.069824
C840: Sanem;2014;4160.504883
C850: Schengen;2014;4417.060547
C860: Schieren;2014;4003.875488
C870: Schifflange;2014;3537.66626
C880: Schuttrange;2014;6361.417969
C890: Septfontaines;2014;4093.181396
C900: Stadtbredimus;2014;4557.599121
C910: Steinfort;2014;4646.935547
C920: Steinsel;2014;5816.145996
C930: Strassen;2014;6888.82373
C940: Tandel;2014;3842.297363
C950: Troisvierges;2014;3461.641357
C960: Tuntange;2014;5130.274414
C970: Useldange;2014;4218.679688
C980: Vallée de l'Ernz;2014;3729.853027
C990: Vianden;2014;3295.948486
C010: Beaufort;2015;3489.428223
C020: Bech;2015;4768.871094
C030: Beckerich;2015;4518.165527
C040: Berdorf;2015;3963.802979
C050: Bertrange;2015;6659.445801
C060: Bettembourg;2015;4211.126465
C070: Bettendorf;2015;3633.072754
C080: Betzdorf;2015;5595.044434
C090: Bissen;2015;4196.392578
C100: Biwer;2015;5238.989258
C1000: Vichten;2015;3779.83667
C1010: Wahl;2015;3958.175049
C1020: Waldbillig;2015;4640.629395
C1030: Waldbredimus;2015;5075.056152
C1040: Walferdange;2015;5686.832031
C1050: Weiler-la-Tour;2015;6143.018066
C1060: Weiswampach;2015;3567.498779
C1070: Wiltz;2015;3399.197998
C1080: Wincrange;2015;3540.247559
C1090: Winseler;2015;4143.130859
C110: Boevange-sur-Attert;2015;4721.208496
C1100: Wormeldange;2015;4580.540527
C120: Boulaide;2015;3777.413818
C130: Bourscheid;2015;3810.951172
C140: Bous;2015;4607.302734
C150: Clervaux;2015;3711.333984
C160: Colmar-Berg;2015;4016.554932
C170: Consdorf;2015;4256.555664
C180: Contern;2015;6097.367676
C190: Dalheim;2015;4396.467285
C200: Diekirch;2015;3821.131836
C210: Differdange;2015;3130.421387
C220: Dippach;2015;5203.6875
C230: Dudelange;2015;3944.607178
C240: Echternach;2015;3538.631104
C250: Ell;2015;4715.65625
C270: Erpeldange-sur-Sûre;2015;4736.628906
C280: Esch-sur-Alzette;2015;3484.628662
C290: Esch-sur-Sûre;2015;3766.048096
C300: Ettelbruck;2015;3694.95874
C310: Feulen;2015;3956.4375
C320: Fischbach;2015;4965.187988
C330: Flaxweiler;2015;5068.394531
C340: Frisange;2015;5185.922363
C350: Garnich;2015;5595.329102
C360: Goesdorf;2015;4293.13623
C370: Grevenmacher;2015;4365.375977
C380: Grosbous;2015;3771.279297
C390: Habscht;2015;
C400: Heffingen;2015;4939.678223
C410: Helperknapp;2015;
C420: Hesperange;2015;5862.15332
C430: Hobscheid;2015;4780.700684
C440: Junglinster;2015;5844.381836
C460: Käerjeng;2015;4861.838867
C470: Kayl;2015;3806.890137
C480: Kehlen;2015;6295.301758
C490: Kiischpelt;2015;3926.272705
C500: Koerich;2015;5143.168457
C510: Kopstal;2015;8036.910156
C520: Lac de la Haute-Sûre;2015;4106.687012
C530: Larochette;2015;4043.862793
C540: Lenningen;2015;5168.625488
C550: Leudelange;2015;8225.8125
C560: Lintgen;2015;4172.182617
C570: Lorentzweiler;2015;4978.329102
C580: Luxembourg;2015;6215.128418
C590: Mamer;2015;5934.108887
C600: Manternach;2015;4915.242676
C610: Mersch;2015;4057.805664
C620: Mertert;2015;4114.67041
C630: Mertzig;2015;4172.876465
C640: Mompach;2015;4231.062012
C650: Mondercange;2015;5146.779785
C660: Mondorf-les-Bains;2015;4332.329102
C670: Niederanven;2015;7851.907715
C680: Nommern;2015;4533.525879
C690: Parc Hosingen;2015;3870.322266
C700: Pétange;2015;3418.981689
C710: Préizerdaul;2015;4252.562012
C720: Putscheid;2015;4515.010254
C730: Rambrouch;2015;4274.168457
C740: Reckange-sur-Mess;2015;5634.650391
C750: Redange/Attert;2015;4461.319824
C760: Reisdorf;2015;3321.161621
C770: Remich;2015;3770.881348
C780: Roeser;2015;5051.427734
C790: Rosport;2015;4115.717285
C800: Rosport-Mompach;2015;
C810: Rumelange;2015;3397.713623
C820: Saeul;2015;4452.600098
C830: Sandweiler;2015;6099.311035
C840: Sanem;2015;4187.387695
C850: Schengen;2015;5011.640137
C860: Schieren;2015;3947.144287
C870: Schifflange;2015;3668.965332
C880: Schuttrange;2015;6521.210449
C890: Septfontaines;2015;4275.712402
C900: Stadtbredimus;2015;4648.681641
C910: Steinfort;2015;4855.416992
C920: Steinsel;2015;6187.32373
C930: Strassen;2015;7526.709473
C940: Tandel;2015;3912.157959
C950: Troisvierges;2015;3559.005127
C960: Tuntange;2015;5263.088379
C970: Useldange;2015;4349.609863
C980: Vallée de l'Ernz;2015;3758.331299
C990: Vianden;2015;3303.840576
C010: Beaufort;2016;3536.939453
C020: Bech;2016;5108.001953
C030: Beckerich;2016;4672.695801
C040: Berdorf;2016;4001.766602
C050: Bertrange;2016;7127.399414
C060: Bettembourg;2016;4269.936523
C070: Bettendorf;2016;3715.139404
C080: Betzdorf;2016;5842.841797
C090: Bissen;2016;4144.019531
C100: Biwer;2016;5368.28418
C1000: Vichten;2016;3806.576416
C1010: Wahl;2016;4011.253906
C1020: Waldbillig;2016;4680.908691
C1030: Waldbredimus;2016;5061.726563
C1040: Walferdange;2016;5858.501953
C1050: Weiler-la-Tour;2016;6424.007813
C1060: Weiswampach;2016;3606.290039
C1070: Wiltz;2016;3397.195557
C1080: Wincrange;2016;3737.418213
C1090: Winseler;2016;4166.045898
C110: Boevange-sur-Attert;2016;4723.285156
C1100: Wormeldange;2016;4602.464844
C120: Boulaide;2016;3791.257813
C130: Bourscheid;2016;3858.020752
C140: Bous;2016;4650.329102
C150: Clervaux;2016;3687.910156
C160: Colmar-Berg;2016;4028.157715
C170: Consdorf;2016;4273.297852
C180: Contern;2016;6709.845703
C190: Dalheim;2016;4479.566895
C200: Diekirch;2016;3850.696289
C210: Differdange;2016;3157.319824
C220: Dippach;2016;5280.108887
C230: Dudelange;2016;4059.560547
C240: Echternach;2016;3917.546387
C250: Ell;2016;4709.32959
C270: Erpeldange-sur-Sûre;2016;4812.825684
C280: Esch-sur-Alzette;2016;3559.554932
C290: Esch-sur-Sûre;2016;3834.695068
C300: Ettelbruck;2016;3701.31665
C310: Feulen;2016;4124.890625
C320: Fischbach;2016;5059.095703
C330: Flaxweiler;2016;5548.373535
C340: Frisange;2016;5245.933594
C350: Garnich;2016;5864.293945
C360: Goesdorf;2016;4296.881348
C370: Grevenmacher;2016;4356.672363
C380: Grosbous;2016;3653.812256
C390: Habscht;2016;
C400: Heffingen;2016;4986.679688
C410: Helperknapp;2016;
C420: Hesperange;2016;6111.784668
C430: Hobscheid;2016;4867.387207
C440: Junglinster;2016;5936.399902
C460: Käerjeng;2016;4864.706055
C470: Kayl;2016;3797.054688
C480: Kehlen;2016;6652.037598
C490: Kiischpelt;2016;3812.403564
C500: Koerich;2016;5229.583984
C510: Kopstal;2016;8235.774414
C520: Lac de la Haute-Sûre;2016;4250.922363
C530: Larochette;2016;3659.908691
C540: Lenningen;2016;5471.331055
C550: Leudelange;2016;6577.327148
C560: Lintgen;2016;4368.887207
C570: Lorentzweiler;2016;5289.181641
C580: Luxembourg;2016;6639.185547
C590: Mamer;2016;6201.539063
C600: Manternach;2016;4838.37793
C610: Mersch;2016;4192.832031
C620: Mertert;2016;4108.757813
C630: Mertzig;2016;4305.935059
C640: Mompach;2016;4322.367188
C650: Mondercange;2016;5193.27002
C660: Mondorf-les-Bains;2016;4347.229004
C670: Niederanven;2016;8076.637207
C680: Nommern;2016;4694.458008
C690: Parc Hosingen;2016;3922.434326
C700: Pétange;2016;3391.506104
C710: Préizerdaul;2016;4414.339844
C720: Putscheid;2016;4173.998535
C730: Rambrouch;2016;4193.299316
C740: Reckange-sur-Mess;2016;5892.266602
C750: Redange/Attert;2016;4476.527344
C760: Reisdorf;2016;3292.314453
C770: Remich;2016;4041.63208
C780: Roeser;2016;5024.575684
C790: Rosport;2016;4021.849854
C800: Rosport-Mompach;2016;
C810: Rumelange;2016;3459.329834
C820: Saeul;2016;4412.021973
C830: Sandweiler;2016;6071.786621
C840: Sanem;2016;4248.79541
C850: Schengen;2016;4667.517578
C860: Schieren;2016;4102.849609
C870: Schifflange;2016;3726.12915
C880: Schuttrange;2016;7069.634766
C890: Septfontaines;2016;4398.535156
C900: Stadtbredimus;2016;4560.859863
C910: Steinfort;2016;4814.762207
C920: Steinsel;2016;6088.682129
C930: Strassen;2016;7421.995117
C940: Tandel;2016;3849.222168
C950: Troisvierges;2016;3553.516357
C960: Tuntange;2016;5308.254395
C970: Useldange;2016;4485.117188
C980: Vallée de l'Ernz;2016;3842.467285
C990: Vianden;2016;3331.85083
C010: Beaufort;2017;3816.961182
C020: Bech;2017;4992.041016
C030: Beckerich;2017;4795.760742
C040: Berdorf;2017;4135.668945
C050: Bertrange;2017;7538.71582
C060: Bettembourg;2017;4388.871094
C070: Bettendorf;2017;3796.238525
C080: Betzdorf;2017;5990.413086
C090: Bissen;2017;4507.492676
C100: Biwer;2017;5569.148438
C1000: Vichten;2017;3990.534912
C1010: Wahl;2017;4187.060547
C1020: Waldbillig;2017;4924.614258
C1030: Waldbredimus;2017;5073.415039
C1040: Walferdange;2017;6720.797363
C1050: Weiler-la-Tour;2017;6998.22168
C1060: Weiswampach;2017;3875.48999
C1070: Wiltz;2017;3355.810059
C1080: Wincrange;2017;3814.366455
C1090: Winseler;2017;4482.787598
C110: Boevange-sur-Attert;2017;
C1100: Wormeldange;2017;5194.306641
C120: Boulaide;2017;3996.94165
C130: Bourscheid;2017;3959.134033
C140: Bous;2017;4965.68457
C150: Clervaux;2017;3793.089111
C160: Colmar-Berg;2017;4377.73877
C170: Consdorf;2017;4430.022461
C180: Contern;2017;6559.989258
C190: Dalheim;2017;4725.689453
C200: Diekirch;2017;4014.071533
C210: Differdange;2017;3290.182373
C220: Dippach;2017;5595.283203
